# Column 1 = Input data size
# Column 2 = Avg time for ArrayListCollection add function
# Column 3 = Avg time for BinSearchCollection add function
# Column 4 = Avg time for HashTableCollection add function
# Column 5 = Avg time for BSTCollection add function
# All times are measured in milliseconds
0 0.00 0.00 0.00 0.00
1024 0.00 0.01 0.00 0.00
2048 0.00 0.03 0.00 0.01
3072 0.00 0.02 0.42 0.01
4096 0.00 0.03 0.00 0.01
5120 0.46 0.81 0.00 0.01
6144 0.00 0.04 0.58 0.01
7168 0.00 0.04 0.00 0.02
8192 0.00 0.05 0.00 0.02
9216 0.00 0.05 0.00 0.02
10240 0.89 0.91 0.00 0.02
11264 0.00 0.06 0.00 0.02
12288 0.00 0.07 1.16 0.02
13312 0.00 0.12 0.00 0.04
14336 0.00 0.13 0.00 0.06
15360 0.00 0.14 0.00 0.05
16384 0.00 0.16 0.00 0.05
17408 0.00 0.16 0.00 0.05
18432 0.00 0.21 0.00 0.06
19456 0.00 0.18 0.00 0.06
20480 2.86 3.11 0.00 0.06
21504 0.00 0.12 0.00 0.08
22528 0.00 0.40 0.00 0.07
23552 0.00 0.21 0.00 0.09
24576 0.00 0.22 4.15 0.08
25600 0.00 0.23 0.00 0.08
26624 0.00 0.24 0.00 0.09
27648 0.00 0.25 0.00 0.09
28672 0.00 0.32 0.00 0.09
29696 0.00 0.26 0.00 0.14
30720 0.00 0.27 0.00 0.10
31744 0.00 0.29 0.00 0.10
32768 0.00 0.29 0.00 0.11
33792 0.00 0.30 0.00 0.11
34816 0.00 0.31 0.00 0.11
